"venta_id","cliente_id","producto","categoria","estado_envio","monto","fecha"
"74","75","TECLADO","Mobiliario","En ruta","$69.020,00","2026-03-16"
"75","76","Monitor","Tecnologia","Entregado","$69.750,00","2026-03-17"
"76","77","USB C Hub","Perifericos","Retrasado","$70.480,00","2026-03-18"
"77","78","Silla","Mobiliario","En ruta","$71.210,00","2026-03-19"
"78","79","Laptop","Tecnologia","Entregado","$71.940,00","2026-03-20"
"79","80"," Mouse ","Perifericos","Retrasado","$72.670,00","2026-03-21"
"80","81","TECLADO","Mobiliario","En ruta","$73.400,00","2026-03-22"
"81","82","","Tecnologia","Entregado","$74.130,00","2026-03-23"
"82","","USB C Hub","Perifericos","Retrasado","$74.860,00","2026-03-24"
"83","84","Silla","Mobiliario","En ruta","$75.590,00","2026-03-25"
"84","85","Laptop","Tecnologia","Entregado","$76.320,00","2026-03-26"
"85","86"," Mouse ","Perifericos","Retrasado","$77.050,00","2026-03-27"
"86","87","TECLADO","Mobiliario","En ruta","$77.780,00","2026-03-28"
"87","88","Monitor","Tecnologia","Entregado","$78.510,00","2026-03-29"
"88","89","USB C Hub","Perifericos","Retrasado","$79.240,00","2026-03-30"
"89","90","Silla","Mobiliario","En ruta","$79.970,00","2026-03-31"
"90","91","Laptop","Tecnologia","Entregado","$80.700,00","2026-04-01"
"91","92"," Mouse ","Perifericos","Retrasado","$81.430,00","2026-04-02"
"92","93","TECLADO","Mobiliario","En ruta","$82.160,00","2026-04-03"
"93","94","Monitor","Tecnologia","Entregado","$82.890,00","2026-04-04"
"94","95","USB C Hub","Perifericos","Retrasado","$83.620,00","2026-04-05"
"95","96","Silla","Mobiliario","En ruta","$84.350,00","2026-04-06"
"96","97","Laptop","Tecnologia","Entregado","$85.080,00","2026-04-07"
"97","98"," Mouse ","Perifericos","Retrasado","$85.810,00","2026-04-08"
"98","99","TECLADO","Mobiliario","En ruta","$86.540,00","2026-04-09"
"99","100","Monitor","Tecnologia","Entregado","","2026-04-10"
"100","101","USB C Hub","Perifericos","Retrasado","$88.000,00","2026-04-11"
"101","102","Silla","Mobiliario","En ruta","$88.730,00","2026-04-12"
"102","103","Laptop","Tecnologia","Entregado","$89.460,00","2026-04-13"
"103","104"," Mouse ","Perifericos","Retrasado","$90.190,00","2026-04-14"
"104","105","TECLADO","Mobiliario","En ruta","$90.920,00","2026-04-15"
"105","106","Monitor","Tecnologia","Entregado","$91.650,00","2026-04-16"
"106","107","USB C Hub","Perifericos","Retrasado","$92.380,00","2026-04-17"
"107","108","Silla","Mobiliario","En ruta","$93.110,00","2026-04-18"
"108","109","","Tecnologia","Entregado","$93.840,00","2026-04-19"
"109","110"," Mouse ","Perifericos","Retrasado","$94.570,00","2026-04-20"
"110","111","TECLADO","Mobiliario","En ruta","$95.300,00","2026-04-21"
"111","112","Monitor","Tecnologia","Entregado","$96.030,00","2026-04-22"
"112","113","USB C Hub","Perifericos","Retrasado","$96.760,00","2026-04-23"
"113","114","Silla","Mobiliario","En ruta","$97.490,00","2026-04-24"
"114","115","Laptop","Tecnologia","Entregado","$98.220,00","2026-04-25"
"115","116"," Mouse ","Perifericos","Retrasado","$98.950,00","2026-04-26"
"116","117","TECLADO","Mobiliario","En ruta","$99.680,00","2026-04-27"
"117","118","Monitor","Tecnologia","Entregado","$100.410,00","2026-04-28"
"118","119","USB C Hub","Perifericos","Retrasado","$101.140,00","2026-04-29"
"119","120","Silla","Mobiliario","En ruta","$101.870,00","2026-04-30"
"120","1","Laptop","Tecnologia","Entregado","$102.600,00","2026-05-01"
"121","2"," Mouse ","Perifericos","Retrasado","$103.330,00","2026-05-02"
"122","3","TECLADO","Mobiliario","En ruta","$104.060,00","2026-05-03"
"123","","Monitor","Tecnologia","Entregado","$104.790,00","2026-05-04"
"124","5","USB C Hub","Perifericos","Retrasado","$105.520,00","2026-05-05"
"125","6","Silla","Mobiliario","En ruta","$106.250,00","2026-05-06"
"126","7","Laptop","Tecnologia","Entregado","$106.980,00","2026-05-07"
"127","8"," Mouse ","Perifericos","Retrasado","$107.710,00","2026-05-08"
"128","9","TECLADO","Mobiliario","En ruta","$108.440,00","2026-05-09"
"129","10","Monitor","Tecnologia","Entregado","$109.170,00","2026-05-10"
"130","11","USB C Hub","Perifericos","Retrasado","$109.900,00","2026-05-11"
"131","12","Silla","Mobiliario","En ruta","$110.630,00","2026-05-12"
"132","13","Laptop","Tecnologia","Entregado","","2026-05-13"
"133","14"," Mouse ","Perifericos","Retrasado","$112.090,00","2026-05-14"
"134","15","TECLADO","Mobiliario","En ruta","$112.820,00","2026-05-15"
"135","16","","Tecnologia","Entregado","$113.550,00","2026-05-16"
"136","17","USB C Hub","Perifericos","Retrasado","$114.280,00","2026-05-17"
"137","18","Silla","Mobiliario","En ruta","$115.010,00","2026-05-18"
"138","19","Laptop","Tecnologia","Entregado","$115.740,00","2026-05-19"
"139","20"," Mouse ","Perifericos","Retrasado","$116.470,00","2026-05-20"
"140","21","TECLADO","Mobiliario","En ruta","$117.200,00","2026-05-21"
"141","22","Monitor","Tecnologia","Entregado","$117.930,00","2026-05-22"
"142","23","USB C Hub","Perifericos","Retrasado","$118.660,00","2026-05-23"
"143","24","Silla","Mobiliario","En ruta","$119.390,00","2026-05-24"
"144","25","Laptop","Tecnologia","Entregado","$120.120,00","2026-05-25"
"145","26"," Mouse ","Perifericos","Retrasado","$120.850,00","2026-05-26"
"146","27","TECLADO","Mobiliario","En ruta","$121.580,00","2026-05-27"
"147","28","Monitor","Tecnologia","Entregado","$122.310,00","2026-05-28"
"148","29","USB C Hub","Perifericos","Retrasado","$123.040,00","2026-05-29"
"149","30","Silla","Mobiliario","En ruta","$123.770,00","2026-05-30"
"150","31","Laptop","Tecnologia","Entregado","$124.500,00","2026-05-31"
"151","32"," Mouse ","Perifericos","Retrasado","$125.230,00","2026-06-01"
"152","33","TECLADO","Mobiliario","En ruta","$125.960,00","2026-06-02"
"153","34","Monitor","Tecnologia","Entregado","$126.690,00","2026-06-03"
"154","35","USB C Hub","Perifericos","Retrasado","$127.420,00","2026-06-04"
"155","36","Silla","Mobiliario","En ruta","$128.150,00","2026-06-05"
"156","37","Laptop","Tecnologia","Entregado","$128.880,00","2026-06-06"
"157","38"," Mouse ","Perifericos","Retrasado","$129.610,00","2026-06-07"
"158","39","TECLADO","Mobiliario","En ruta","$130.340,00","2026-06-08"
"159","40","Monitor","Tecnologia","Entregado","$131.070,00","2026-06-09"
"160","41","USB C Hub","Perifericos","Retrasado","$131.800,00","2026-06-10"
"161","42","Silla","Mobiliario","En ruta","$132.530,00","2026-06-11"
"162","43","","Tecnologia","Entregado","$133.260,00","2026-06-12"
"163","44"," Mouse ","Perifericos","Retrasado","$133.990,00","2026-06-13"
"164","","TECLADO","Mobiliario","En ruta","$134.720,00","2026-06-14"
"165","46","Monitor","Tecnologia","Entregado","","2026-06-15"
"166","47","USB C Hub","Perifericos","Retrasado","$136.180,00","2026-06-16"
"167","48","Silla","Mobiliario","En ruta","$136.910,00","2026-06-17"
"168","49","Laptop","Tecnologia","Entregado","$137.640,00","2026-06-18"
"169","50"," Mouse ","Perifericos","Retrasado","$138.370,00","2026-06-19"
"170","51","TECLADO","Mobiliario","En ruta","$139.100,00","2026-06-20"
"171","52","Monitor","Tecnologia","Entregado","$139.830,00","2026-06-21"
"172","53","USB C Hub","Perifericos","Retrasado","$140.560,00","2026-06-22"
"173","54","Silla","Mobiliario","En ruta","$141.290,00","2026-06-23"
"174","55","Laptop","Tecnologia","Entregado","$142.020,00","2026-06-24"
"175","56"," Mouse ","Perifericos","Retrasado","$142.750,00","2026-06-25"
"176","57","TECLADO","Mobiliario","En ruta","$143.480,00","2026-06-26"
"177","58","Monitor","Tecnologia","Entregado","$144.210,00","2026-06-27"
"178","59","USB C Hub","Perifericos","Retrasado","$144.940,00","2026-06-28"
"179","60","Silla","Mobiliario","En ruta","$145.670,00","2026-06-29"
"180","61","Laptop","Tecnologia","Entregado","$146.400,00","2026-06-30"
